"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-06,,quarterly,26401,,,,,1984-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-07,,quarterly,27416,,,,,1984-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-08,,quarterly,27416,,,,,1984-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-09,,quarterly,27416,,,,,1984-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-10,,quarterly,27823,,,,,1984-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-11,,quarterly,27823,,,,,1984-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-12,,quarterly,27823,,,,,1984-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-01,,quarterly,27823,,,,,1985-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-02,,quarterly,27823,,,,,1985-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-03,,quarterly,27823,,,,,1985-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-04,,quarterly,28838,,,,,1985-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-05,,quarterly,28838,,,,,1985-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-06,,quarterly,28838,,,,,1985-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-07,,quarterly,29447,,,,,1985-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-08,,quarterly,29447,,,,,1985-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-09,,quarterly,29447,,,,,1985-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-10,,quarterly,30463,,,,,1985-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-11,,quarterly,30463,,,,,1985-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-12,,quarterly,30463,,,,,1985-12-01
